name	ui	pharmacological_action_name	pharmacological_action_ui
Miconazole	D008825	Cytochrome P-450 CYP3A Inhibitors	D065692
Midazolam	D008874	Adjuvants, Anesthesia	D000759
Midazolam	D008874	Hypnotics and Sedatives	D006993
Midazolam	D008874	Anti-Anxiety Agents	D014151
Midazolam	D008874	Anesthetics, Intravenous	D018686
Midazolam	D008874	GABA Modulators	D018757
Midodrine	D008879	Sympathomimetics	D013566
Midodrine	D008879	Vasoconstrictor Agents	D014662
Midodrine	D008879	Adrenergic alpha-1 Receptor Agonists	D058646
Mineral Oil	D008899	Emollients	D004643
Minocycline	D008911	Anti-Bacterial Agents	D000900
Minoxidil	D008914	Antihypertensive Agents	D000959
Minoxidil	D008914	Vasodilator Agents	D014665
Misonidazole	D008920	Antineoplastic Agents	D000970
Misonidazole	D008920	Antiprotozoal Agents	D000981
Misonidazole	D008920	Radiation-Sensitizing Agents	D011838
Plicamycin	D008926	Antibiotics, Antineoplastic	D000903
Plicamycin	D008926	Fluorescent Dyes	D005456
Plicamycin	D008926	Protein Synthesis Inhibitors	D011500
Plicamycin	D008926	Nucleic Acid Synthesis Inhibitors	D019384
Mitobronitol	D008927	Antineoplastic Agents, Alkylating	D018906
Mitoguazone	D008935	Antineoplastic Agents	D000970
Mitoguazone	D008935	Enzyme Inhibitors	D004791
Mitolactol	D008936	Antineoplastic Agents, Alkylating	D018906
Mitomycins	D008937	Antibiotics, Antineoplastic	D000903
Mitotane	D008939	Antineoplastic Agents, Hormonal	D018931
Mitoxantrone	D008942	Analgesics	D000700
Mitoxantrone	D008942	Antineoplastic Agents	D000970
Mitoxantrone	D008942	Topoisomerase II Inhibitors	D059005
Molasses	D008965	Sweetening Agents	D013549
Molindone	D008972	Antipsychotic Agents	D014150
Mollusk Venoms	D008978	Poisons	D011042
Molsidomine	D008981	Vasodilator Agents	D014665
Molsidomine	D008981	Nitric Oxide Donors	D020030
Molybdenum	D008982	Trace Elements	D014131
Monensin	D008985	Antifungal Agents	D000935
Monensin	D008985	Antiprotozoal Agents	D000981
Monensin	D008985	Coccidiostats	D003049
Monensin	D008985	Proton Ionophores	D061209
Monensin	D008985	Sodium Ionophores	D061210
Monocrotophos	D008999	Cholinesterase Inhibitors	D002800
Monocrotophos	D008999	Insecticides	D007306
Monocrotophos	D008999	Monoamine Oxidase Inhibitors	D008996
Monocrotophos	D008999	Mutagens	D009153
Mopidamol	D009012	Antineoplastic Agents	D000970
Morantel	D009015	Anthelmintics	D000871
Morantel	D009015	Antinematodal Agents	D000969
Morphine	D009020	Analgesics, Opioid	D000701
Morphine	D009020	Narcotics	D009294
Motilin	D009037	Gastrointestinal Agents	D005765
Moxalactam	D009070	Anti-Bacterial Agents	D000900
Melanocyte-Stimulating Hormones	D009074	Hormones	D006728
MSH Release-Inhibiting Hormone	D009075	Hormones	D006728
Muramidase	D009113	Anti-Infective Agents	D000890
Murexide	D009114	Indicators and Reagents	D007202
Muscarine	D009116	Parasympathomimetics	D010277
Muscarine	D009116	Muscarinic Agonists	D018721
Muscimol	D009118	GABA-A Receptor Agonists	D058785
Mustard Gas	D009151	Chemical Warfare Agents	D002619
Mustard Gas	D009151	Dermatologic Agents	D003879
Muzolimine	D009156	Antihypertensive Agents	D000959
Muzolimine	D009156	Diuretics	D004232
Mycobacillin	D009158	Anti-Bacterial Agents	D000900
Mycobacillin	D009158	Antifungal Agents	D000935
Mycophenolic Acid	D009173	Antibiotics, Antineoplastic	D000903
Mycophenolic Acid	D009173	Antibiotics, Antitubercular	D000904
Mycophenolic Acid	D009173	Enzyme Inhibitors	D004791
Mycotoxins	D009183	Poisons	D011042
Myeloma Proteins	D009194	Immunologic Factors	D007155
Ipratropium	D009241	Bronchodilator Agents	D001993
Ipratropium	D009241	Cholinergic Antagonists	D018680
Nadolol	D009248	Adrenergic beta-Antagonists	D000319
Nadolol	D009248	Anti-Arrhythmia Agents	D000889
Nadolol	D009248	Antihypertensive Agents	D000959
Nadolol	D009248	Sympatholytics	D013565
Nafcillin	D009254	Anti-Bacterial Agents	D000900
Nafenopin	D009255	Hypolipidemic Agents	D000960
Nafenopin	D009255	Peroxisome Proliferators	D020025
Nafoxidine	D009256	Estrogen Antagonists	D004965
Nafoxidine	D009256	Antineoplastic Agents, Hormonal	D018931
Nafronyl	D009257	Serotonin Antagonists	D012702
Nafronyl	D009257	Vasodilator Agents	D014665
Nalbuphine	D009266	Analgesics, Opioid	D000701
Nalbuphine	D009266	Narcotic Antagonists	D009292
Nalbuphine	D009266	Narcotics	D009294
Naled	D009267	Cholinesterase Inhibitors	D002800
Naled	D009267	Insecticides	D007306
Naled	D009267	Acaricides	D056810
Nalidixic Acid	D009268	Anti-Bacterial Agents	D000900
Nalidixic Acid	D009268	Topoisomerase II Inhibitors	D059005
Nalorphine	D009269	Narcotic Antagonists	D009292
Naloxone	D009270	Narcotic Antagonists	D009292
Naltrexone	D009271	Narcotic Antagonists	D009292
Nandrolone	D009277	Androgens	D000728
Nandrolone	D009277	Anabolic Agents	D045930
Naphazoline	D009278	Adrenergic alpha-Agonists	D000316
Naphazoline	D009278	Nasal Decongestants	D014663
Naproxen	D009288	Anti-Inflammatory Agents, Non-Steroidal	D000894
Naproxen	D009288	Gout Suppressants	D006074
Naproxen	D009288	Cyclooxygenase Inhibitors	D016861
4-Chloro-7-nitrobenzofurazan	D009327	Enzyme Inhibitors	D004791
4-Chloro-7-nitrobenzofurazan	D009327	Indicators and Reagents	D007202
Nebramycin	D009328	Anti-Bacterial Agents	D000900
Nefopam	D009340	Analgesics, Non-Narcotic	D018712
Zinostatin	D009353	Antibiotics, Antineoplastic	D000903
Zinostatin	D009353	Cytotoxins	D003603
Zinostatin	D009353	Nucleic Acid Synthesis Inhibitors	D019384
Neomycin	D009355	Anti-Bacterial Agents	D000900
Neomycin	D009355	Protein Synthesis Inhibitors	D011500
Neostigmine	D009388	Cholinesterase Inhibitors	D002800
Neostigmine	D009388	Parasympathomimetics	D010277
Netilmicin	D009428	Anti-Bacterial Agents	D000900
Netilmicin	D009428	Protein Synthesis Inhibitors	D011500
Netropsin	D009429	Anti-Bacterial Agents	D000900
Netropsin	D009429	Antiviral Agents	D000998
Neutral Red	D009499	Coloring Agents	D004396
Neutral Red	D009499	Indicators and Reagents	D007202
Niacin	D009525	Hypolipidemic Agents	D000960
Niacin	D009525	Vasodilator Agents	D014665
Niacin	D009525	Vitamin B Complex	D014803
Nialamide	D009526	Antidepressive Agents	D000928
Nialamide	D009526	Monoamine Oxidase Inhibitors	D008996
Nicarbazin	D009528	Coccidiostats	D003049
Nicardipine	D009529	Antihypertensive Agents	D000959
Nicardipine	D009529	Calcium Channel Blockers	D002121
Nicardipine	D009529	Vasodilator Agents	D014665
Nicergoline	D009530	Adrenergic alpha-Antagonists	D000317
Nicergoline	D009530	Vasodilator Agents	D014665
Nicergoline	D009530	Nootropic Agents	D018697
Niceritrol	D009531	Hypolipidemic Agents	D000960
Nickel	D009532	Trace Elements	D014131
Niclosamide	D009534	Anticestodal Agents	D000923
Niclosamide	D009534	Antinematodal Agents	D000969
Niclosamide	D009534	Molluscacides	D008975
Niacinamide	D009536	Vitamin B Complex	D014803
Nicotine	D009538	Ganglionic Stimulants	D005731
Nicotine	D009538	Nicotinic Agonists	D018722
Nicotinic Acids	D009539	Vitamin B Complex	D014803
Nicotinyl Alcohol	D009540	Vasodilator Agents	D014665
Nifedipine	D009543	Calcium Channel Blockers	D002121
Nifedipine	D009543	Vasodilator Agents	D014665
Nifedipine	D009543	Tocolytic Agents	D015149
Niflumic Acid	D009544	Anti-Inflammatory Agents, Non-Steroidal	D000894
Niflumic Acid	D009544	Cyclooxygenase Inhibitors	D016861
Nifuratel	D009545	Antifungal Agents	D000935
Nifuratel	D009545	Antitrichomonal Agents	D000994
Nifurtimox	D009547	Trypanocidal Agents	D014344
Nigericin	D009550	Anti-Bacterial Agents	D000900
Nigericin	D009550	Ionophores	D007476
Nikethamide	D009552	Central Nervous System Stimulants	D000697
Nikethamide	D009552	Convulsants	D003292
Nimodipine	D009553	Antihypertensive Agents	D000959
Nimodipine	D009553	Calcium Channel Blockers	D002121
Nimodipine	D009553	Vasodilator Agents	D014665
Nimorazole	D009554	Antitrichomonal Agents	D000994
Ninhydrin	D009555	Indicators and Reagents	D007202
Ninhydrin	D009555	Radiation-Sensitizing Agents	D011838
Niridazole	D009560	Amebicides	D000563
Niridazole	D009560	Schistosomicides	D012556
Nisin	D009561	Anti-Bacterial Agents	D000900
Nisin	D009561	Food Preservatives	D005520
Nitracrine	D009564	Antineoplastic Agents	D000970
Nitracrine	D009564	Nucleic Acid Synthesis Inhibitors	D019384
Nitrazepam	D009567	Anticonvulsants	D000927
Nitrazepam	D009567	Hypnotics and Sedatives	D006993
Nitrazepam	D009567	Anti-Anxiety Agents	D014151
Nitrazepam	D009567	GABA Modulators	D018757
Nitrendipine	D009568	Antihypertensive Agents	D000959
Nitrendipine	D009568	Calcium Channel Blockers	D002121
Nitrendipine	D009568	Vasodilator Agents	D014665
Nitric Oxide	D009569	Bronchodilator Agents	D001993
Nitric Oxide	D009569	Free Radical Scavengers	D016166
Nitric Oxide	D009569	Neurotransmitter Agents	D018377
Nitric Oxide	D009569	Endothelium-Dependent Relaxing Factors	D045462
Nitric Oxide	D009569	Gasotransmitters	D064426
Nitrilotriacetic Acid	D009571	Chelating Agents	D002614
Nitroblue Tetrazolium	D009580	Indicators and Reagents	D007202
Nitrofurantoin	D009582	Anti-Infective Agents, Urinary	D000892
Nitrofurazone	D009583	Anti-Infective Agents	D000890
Nitrogen Dioxide	D009585	Oxidants, Photochemical	D010083
Nitrogen Mustard Compounds	D009588	Antineoplastic Agents, Alkylating	D018906
Nitromifene	D009594	Estrogen Antagonists	D004965
Nitroprusside	D009599	Antihypertensive Agents	D000959
Nitroprusside	D009599	Indicators and Reagents	D007202
Nitroprusside	D009599	Vasodilator Agents	D014665
Nitroprusside	D009599	Nitric Oxide Donors	D020030
Nitrosoguanidines	D009604	Mutagens	D009153
Nitrosomethylurethane	D009605	Alkylating Agents	D000477
Nitrous Oxide	D009609	Anesthetics, Inhalation	D018685
Nitrous Oxide	D009609	Analgesics, Non-Narcotic	D018712
Nitrovin	D009610	Anti-Infective Agents	D000890
Nitroxinil	D009611	Antiplatyhelmintic Agents	D000980
Nogalamycin	D009621	Antibiotics, Antineoplastic	D000903
Nogalamycin	D009621	Intercalating Agents	D007364
Nogalamycin	D009621	Nucleic Acid Synthesis Inhibitors	D019384
Nomifensine	D009627	Dopamine Uptake Inhibitors	D018765
Nonachlazine	D009628	Vasodilator Agents	D014665
Masoprocol	D009637	Antioxidants	D000975
Masoprocol	D009637	Lipoxygenase Inhibitors	D016859
Masoprocol	D009637	Cyclooxygenase Inhibitors	D016861
Norepinephrine	D009638	Adrenergic alpha-Agonists	D000316
Norepinephrine	D009638	Sympathomimetics	D013566
Norepinephrine	D009638	Vasoconstrictor Agents	D014662
Norethandrolone	D009639	Anabolic Agents	D045930
Norethindrone	D009640	Contraceptives, Oral, Synthetic	D003280
Norethynodrel	D009641	Contraceptives, Oral, Synthetic	D003280
Norfenfluramine	D009642	Serotonin Uptake Inhibitors	D017367
Norfenfluramine	D009642	Serotonin Agents	D018490
Norfloxacin	D009643	Anti-Bacterial Agents	D000900
Norfloxacin	D009643	Topoisomerase II Inhibitors	D059005
Norfloxacin	D009643	Cytochrome P-450 CYP1A2 Inhibitors	D065609
Norgestrel	D009644	Contraceptives, Oral, Synthetic	D003280
Norgestrienone	D009645	Contraceptives, Oral, Synthetic	D003280
Octopamine	D009655	Adrenergic alpha-Agonists	D000316
Octopamine	D009655	Vasoconstrictor Agents	D014662
Nortriptyline	D009661	Antidepressive Agents, Tricyclic	D000929
Nortriptyline	D009661	Adrenergic Uptake Inhibitors	D018759
Noscapine	D009665	Antitussive Agents	D000996
Novobiocin	D009675	Anti-Bacterial Agents	D000900
Novobiocin	D009675	Enzyme Inhibitors	D004791
Novobiocin	D009675	Nucleic Acid Synthesis Inhibitors	D019384
Noxythiolin	D009677	Anti-Infective Agents, Local	D000891
Nylidrin	D009756	Adrenergic beta-Agonists	D000318
Nylidrin	D009756	Sympathomimetics	D013566
Nylidrin	D009756	Vasodilator Agents	D014665
Nylidrin	D009756	Tocolytic Agents	D015149
Nystatin	D009761	Anti-Bacterial Agents	D000900
Nystatin	D009761	Antifungal Agents	D000935
Nystatin	D009761	Ionophores	D007476
o-Aminoazotoluene	D009762	Coloring Agents	D004396
o-Chlorobenzylidenemalonitrile	D009763	Riot Control Agents, Chemical	D012304
o-Phthalaldehyde	D009764	Disinfectants	D004202
o-Phthalaldehyde	D009764	Enzyme Inhibitors	D004791
o-Phthalaldehyde	D009764	Indicators and Reagents	D007202
Obidoxime Chloride	D009768	Cholinesterase Reactivators	D002801
Ochratoxins	D009793	Poisons	D011042
Oleandomycin	D009827	Anti-Bacterial Agents	D000900
Oligomycins	D009840	Anti-Bacterial Agents	D000900
Oligomycins	D009840	Enzyme Inhibitors	D004791
Oligomycins	D009840	Uncoupling Agents	D014475
Olivomycins	D009848	Antibiotics, Antineoplastic	D000903
Olivomycins	D009848	Fluorescent Dyes	D005456
Olivomycins	D009848	Protein Synthesis Inhibitors	D011500
Omeprazole	D009853	Anti-Ulcer Agents	D000897
Omeprazole	D009853	Proton Pump Inhibitors	D054328
Opipramol	D009888	Antidepressive Agents, Tricyclic	D000929
Opipramol	D009888	Adrenergic Uptake Inhibitors	D018759
Opium	D009892	Analgesics, Opioid	D000701
Opium	D009892	Antidiarrheals	D000930
Opium	D009892	Antitussive Agents	D000996
Opium	D009892	Narcotics	D009294
Opsonin Proteins	D009895	Immunologic Factors	D007155
Metaproterenol	D009921	Bronchodilator Agents	D001993
Metaproterenol	D009921	Sympathomimetics	D013566
Metaproterenol	D009921	Tocolytic Agents	D015149
Metaproterenol	D009921	Adrenergic beta-2 Receptor Agonists	D058666
Ornidazole	D009950	Amebicides	D000563
Ornidazole	D009950	Antitrichomonal Agents	D000994
Ornidazole	D009950	Radiation-Sensitizing Agents	D011838
Ornipressin	D009951	Hemostatics	D006490
Ornipressin	D009951	Vasoconstrictor Agents	D014662
Orphenadrine	D009966	Antiparkinson Agents	D000978
Orphenadrine	D009966	Muscle Relaxants, Central	D009125
Orphenadrine	D009966	Parasympatholytics	D010276
Orphenadrine	D009966	Muscarinic Antagonists	D018727
Orphenadrine	D009966	Cytochrome P-450 CYP2B6 Inhibitors	D065686
Ouabain	D010042	Cardiotonic Agents	D002316
Ouabain	D010042	Enzyme Inhibitors	D004791
Ovomucin	D010059	Trypsin Inhibitors	D014361
Oxacillin	D010068	Anti-Bacterial Agents	D000900
Oxamniquine	D010073	Schistosomicides	D012556
Oxandrolone	D010074	Androgens	D000728
Oxandrolone	D010074	Anabolic Agents	D045930
Oxazepam	D010076	Hypnotics and Sedatives	D006993
Oxazepam	D010076	Anti-Anxiety Agents	D014151
Oxazepam	D010076	GABA Modulators	D018757
Oxazolone	D010081	Adjuvants, Immunologic	D000276
Oxolinic Acid	D010093	Anti-Infective Agents, Urinary	D000892
Oxolinic Acid	D010093	Anti-Bacterial Agents	D000900
Oxolinic Acid	D010093	Topoisomerase II Inhibitors	D059005
Oxotremorine	D010095	Muscarinic Agonists	D018721
Oxprenolol	D010096	Adrenergic beta-Antagonists	D000319
Oxprenolol	D010096	Anti-Arrhythmia Agents	D000889
Oxprenolol	D010096	Antihypertensive Agents	D000959
Oxprenolol	D010096	Sympatholytics	D013565
Oxprenolol	D010096	Anti-Anxiety Agents	D014151
Oxprenolol	D010096	Vasodilator Agents	D014665
Oxyclozanide	D010097	Antiplatyhelmintic Agents	D000980
Oxycodone	D010098	Analgesics, Opioid	D000701
Oxycodone	D010098	Narcotics	D009294
Oxyfedrine	D010099	Adrenergic beta-Agonists	D000318
Oxyfedrine	D010099	Cardiotonic Agents	D002316
Oxyfedrine	D010099	Vasodilator Agents	D014665
Oxymetazoline	D010109	Adrenergic alpha-Agonists	D000316
Oxymetazoline	D010109	Sympathomimetics	D013566
Oxymetazoline	D010109	Nasal Decongestants	D014663
Oxymetholone	D010110	Androgens	D000728
Oxymetholone	D010110	Anabolic Agents	D045930
Oxymorphone	D010111	Analgesics, Opioid	D000701
Oxymorphone	D010111	Adjuvants, Anesthesia	D000759
Oxymorphone	D010111	Narcotics	D009294
Oxyphenbutazone	D010113	Anti-Inflammatory Agents, Non-Steroidal	D000894
Oxyphenisatin Acetate	D010114	Cathartics	D002400
Oxyphenonium	D010115	Mydriatics	D009184
Oxyphenonium	D010115	Parasympatholytics	D010276
Oxyphenonium	D010115	Muscarinic Antagonists	D018727
Oxypurinol	D010117	Enzyme Inhibitors	D004791
Oxytetracycline	D010118	Anti-Bacterial Agents	D000900
Oxythiamine	D010119	Antimetabolites	D000963
Oxytocin	D010121	Oxytocics	D010120
Ozone	D010126	Oxidants, Photochemical	D010083
p-Aminoazobenzene	D010128	Coloring Agents	D004396
p-Aminohippuric Acid	D010130	Indicators and Reagents	D007202
Aminosalicylic Acid	D010131	Antitubercular Agents	D000995
p-Chloroamphetamine	D010133	Serotonin Agents	D018490
Fenclonine	D010134	Enzyme Inhibitors	D004791
Fenclonine	D010134	Serotonin Antagonists	D012702
p-Hydroxyamphetamine	D010136	Mydriatics	D009184
p-Hydroxyamphetamine	D010136	Sympathomimetics	D013566
Pactamycin	D010142	Antibiotics, Antineoplastic	D000903
Pactamycin	D010142	Protein Synthesis Inhibitors	D011500
Palmitoylcarnitine	D010172	Vitamin B Complex	D014803
Pancreatic Polypeptide	D010191	Gastrointestinal Agents	D005765
Pancreatic Polypeptide	D010191	Hormones	D006728
Pancreatin	D010194	Gastrointestinal Agents	D005765
Pancuronium	D010197	Neuromuscular Nondepolarizing Agents	D003473
Pancuronium	D010197	Nicotinic Antagonists	D018733
Pantothenic Acid	D010205	Vitamin B Complex	D014803
Papaverine	D010208	Phosphodiesterase Inhibitors	D010726
Papaverine	D010208	Vasodilator Agents	D014665
Papaverine	D010208	Urological Agents	D064804
Parabens	D010226	Food Preservatives	D005520
Parabens	D010226	Preservatives, Pharmaceutical	D011310
Paraldehyde	D010242	Anticonvulsants	D000927
Paraldehyde	D010242	Hypnotics and Sedatives	D006993
Paramethasone	D010248	Anti-Inflammatory Agents	D000893
Paramethasone	D010248	Glucocorticoids	D005938
Paraoxon	D010261	Cholinesterase Inhibitors	D002800
Paraoxon	D010261	Insecticides	D007306
Paraproteins	D010266	Immunologic Factors	D007155
Paraquat	D010269	Herbicides	D006540
Parathion	D010278	Cholinesterase Inhibitors	D002800
Parathion	D010278	Insecticides	D007306
Pargyline	D010293	Antihypertensive Agents	D000959
Pargyline	D010293	Monoamine Oxidase Inhibitors	D008996
Paromomycin	D010303	Amebicides	D000563
Paromomycin	D010303	Anti-Bacterial Agents	D000900
Patulin	D010365	Mutagens	D009153
Patulin	D010365	Poisons	D011042
Pectins	D010368	Food Additives	D005503
Pemoline	D010389	Central Nervous System Stimulants	D000697
Pempidine	D010393	Antihypertensive Agents	D000959
Pempidine	D010393	Ganglionic Blockers	D005730
Pempidine	D010393	Nicotinic Antagonists	D018733
Penbutolol	D010394	Adrenergic beta-Antagonists	D000319
Penbutolol	D010394	Antihypertensive Agents	D000959
Penfluridol	D010395	Antipsychotic Agents	D014150
Penfluridol	D010395	Dopamine Antagonists	D018492
Penicillamine	D010396	Antidotes	D000931
Penicillamine	D010396	Chelating Agents	D002614
Penicillamine	D010396	Antirheumatic Agents	D018501
Penicillanic Acid	D010397	Anti-Bacterial Agents	D000900
Penicillic Acid	D010398	Anti-Bacterial Agents	D000900
Penicillin G	D010400	Anti-Bacterial Agents	D000900
Penicillin G Benzathine	D010401	Anti-Bacterial Agents	D000900
Penicillin G Procaine	D010402	Anti-Bacterial Agents	D000900
Penicillin V	D010404	Anti-Bacterial Agents	D000900
Penicillins	D010406	Anti-Bacterial Agents	D000900
Pentachlorophenol	D010416	Environmental Pollutants	D004785
Pentachlorophenol	D010416	Enzyme Inhibitors	D004791
Pentachlorophenol	D010416	Herbicides	D006540
Pentachlorophenol	D010416	Insecticides	D007306
Pentachlorophenol	D010416	Pesticides	D010575
Pentachlorophenol	D010416	Poisons	D011042
Pentachlorophenol	D010416	Uncoupling Agents	D014475
Pentaerythritol Tetranitrate	D010417	Vasodilator Agents	D014665
Pentamidine	D010419	Antifungal Agents	D000935
Pentamidine	D010419	Antiprotozoal Agents	D000981
Pentamidine	D010419	Trypanocidal Agents	D014344
Pentazocine	D010423	Analgesics, Opioid	D000701
Pentazocine	D010423	Adjuvants, Anesthesia	D000759
Pentazocine	D010423	Narcotic Antagonists	D009292
Pentazocine	D010423	Narcotics	D009294
Pentobarbital	D010424	Adjuvants, Anesthesia	D000759
Pentobarbital	D010424	Hypnotics and Sedatives	D006993
Pentobarbital	D010424	GABA Modulators	D018757
Pentolinium Tartrate	D010425	Antihypertensive Agents	D000959
Pentolinium Tartrate	D010425	Ganglionic Blockers	D005730
Pentolinium Tartrate	D010425	Nicotinic Antagonists	D018733
Pentosan Sulfuric Polyester	D010426	Anticoagulants	D000925
Pentoxifylline	D010431	Phosphodiesterase Inhibitors	D010726
Pentoxifylline	D010431	Platelet Aggregation Inhibitors	D010975
Pentoxifylline	D010431	Radiation-Protective Agents	D011837
Pentoxifylline	D010431	Vasodilator Agents	D014665
Pentoxifylline	D010431	Free Radical Scavengers	D016166
Pentylenetetrazole	D010433	Convulsants	D003292
Pentylenetetrazole	D010433	GABA Antagonists	D018756
Pepsin A	D010434	Gastrointestinal Agents	D005765
Pepstatins	D010436	Protease Inhibitors	D011480
Peptichemio	D010440	Antimetabolites, Antineoplastic	D000964
Peptichemio	D010440	Antineoplastic Agents, Alkylating	D018906
Peracetic Acid	D010463	Disinfectants	D004202
Peracetic Acid	D010463	Oxidants	D016877
Perazine	D010464	Antipsychotic Agents	D014150
Perazine	D010464	Dopamine Antagonists	D018492
Pergolide	D010479	Dopamine Agonists	D018491
Perhexiline	D010480	Calcium Channel Blockers	D002121
Perhexiline	D010480	Cardiovascular Agents	D002317
Perhexiline	D010480	Vasodilator Agents	D014665
Peroxides	D010545	Oxidants	D016877
Perphenazine	D010546	Antipsychotic Agents	D014150
Perphenazine	D010546	Dopamine Antagonists	D018492
Petrolatum	D010577	Emollients	D004643
Petrolatum	D010577	Ointment Bases	D009823
Phalloidine	D010590	Poisons	D011042
Phenacetin	D010615	Analgesics, Non-Narcotic	D018712
Phenazocine	D010620	Analgesics, Opioid	D000701
Phenazocine	D010620	Narcotics	D009294
Phencyclidine	D010622	Enzyme Inhibitors	D004791
Phencyclidine	D010622	Hallucinogens	D006213
Phencyclidine	D010622	Excitatory Amino Acid Antagonists	D018691
Phenelzine	D010624	Antidepressive Agents	D000928
Phenelzine	D010624	Monoamine Oxidase Inhibitors	D008996
Phenylethyl Alcohol	D010626	Anti-Infective Agents, Local	D000891
Phenylethyl Alcohol	D010626	Disinfectants	D004202
Phenylethyl Alcohol	D010626	Preservatives, Pharmaceutical	D011310
Phenformin	D010629	Hypoglycemic Agents	D007004
Phenindione	D010630	Anticoagulants	D000925
Pheniramine	D010632	Antipruritics	D000982
Pheniramine	D010632	Histamine H1 Antagonists	D006634
Pheniramine	D010632	Anti-Allergic Agents	D018926
Phenmetrazine	D010633	Central Nervous System Stimulants	D000697
Phenmetrazine	D010633	Appetite Depressants	D001067
Phenmetrazine	D010633	Sympathomimetics	D013566
Phenobarbital	D010634	Anticonvulsants	D000927
Phenobarbital	D010634	Hypnotics and Sedatives	D006993
Phenobarbital	D010634	Excitatory Amino Acid Antagonists	D018691
Phenobarbital	D010634	GABA Modulators	D018757
Phenobarbital	D010634	Cytochrome P-450 CYP2B6 Inducers	D065695
Phenobarbital	D010634	Cytochrome P-450 CYP3A Inducers	D065701
Phenolphthaleins	D010635	Cathartics	D002400
Phenolphthaleins	D010635	Coloring Agents	D004396
Phenolphthaleins	D010635	Indicators and Reagents	D007202
Phenolsulfonphthalein	D010637	Coloring Agents	D004396
Phenolsulfonphthalein	D010637	Indicators and Reagents	D007202
Phenoperidine	D010638	Analgesics, Opioid	D000701
Phenoperidine	D010638	Narcotics	D009294
Phenoxybenzamine	D010643	Adrenergic alpha-Antagonists	D000317
Phenoxybenzamine	D010643	Antihypertensive Agents	D000959
Phenoxybenzamine	D010643	Vasodilator Agents	D014665
Phenprocoumon	D010644	Anticoagulants	D000925
Phentermine	D010645	Central Nervous System Stimulants	D000697
Phentermine	D010645	Appetite Depressants	D001067
Phentermine	D010645	Sympathomimetics	D013566
Phentermine	D010645	Adrenergic Agents	D018663
Phentolamine	D010646	Adrenergic alpha-Antagonists	D000317
Phentolamine	D010646	Antihypertensive Agents	D000959
Phenylbutazone	D010653	Anti-Inflammatory Agents, Non-Steroidal	D000894
Phenylephrine	D010656	Cardiotonic Agents	D002316
Phenylephrine	D010656	Mydriatics	D009184
Phenylephrine	D010656	Sympathomimetics	D013566
Phenylephrine	D010656	Vasoconstrictor Agents	D014662
Phenylephrine	D010656	Nasal Decongestants	D014663
Phenylephrine	D010656	Adrenergic alpha-1 Receptor Agonists	D058646
Phenylglyoxal	D010658	Enzyme Inhibitors	D004791
Phenylglyoxal	D010658	Indicators and Reagents	D007202
Phenylmercuric Acetate	D010662	Fungicides, Industrial	D005659
Phenylmercury Compounds	D010663	Fungicides, Industrial	D005659
Phenylmethylsulfonyl Fluoride	D010664	Enzyme Inhibitors	D004791
Phenylmethylsulfonyl Fluoride	D010664	Protease Inhibitors	D011480
Phenylpropanolamine	D010665	Adrenergic alpha-Agonists	D000316
Phenylpropanolamine	D010665	Appetite Depressants	D001067
Phenylpropanolamine	D010665	Sympathomimetics	D013566
Phenylpropanolamine	D010665	Nasal Decongestants	D014663
Phenytoin	D010672	Anticonvulsants	D000927
Phenytoin	D010672	Voltage-Gated Sodium Channel Blockers	D061567
Phenytoin	D010672	Cytochrome P-450 CYP1A2 Inducers	D065694
Phleomycins	D010692	Antibiotics, Antineoplastic	D000903
Phleomycins	D010692	Nucleic Acid Synthesis Inhibitors	D019384
Phloroglucinol	D010696	Indicators and Reagents	D007202
Eosine I Bluish	D010697	Fluorescent Dyes	D005456
Phorate	D010702	Cholinesterase Inhibitors	D002800
Phorate	D010702	Insecticides	D007306
Phorbol Esters	D010703	Carcinogens	D002273
Phosgene	D010705	Chemical Warfare Agents	D002619
Phosmet	D010706	Insecticides	D007306
Phosphamidon	D010707	Cholinesterase Inhibitors	D002800
Phosphamidon	D010707	Insecticides	D007306
Phosphocreatine	D010725	Cardiotonic Agents	D002316
Phosphonoacetic Acid	D010746	Antiviral Agents	D000998
Phosphonoacetic Acid	D010746	Enzyme Inhibitors	D004791
Phosphonoacetic Acid	D010746	Reverse Transcriptase Inhibitors	D018894
Phosphoramide Mustards	D010752	Antineoplastic Agents, Alkylating	D018906
Phosphothreonine	D010769	Indicators and Reagents	D007202
Leptophos	D010773	Insecticides	D007306
Physalaemin	D010803	Neurotransmitter Agents	D018377
Physostigmine	D010830	Cholinesterase Inhibitors	D002800
Physostigmine	D010830	Miotics	D008916
Phytohemagglutinins	D010835	Mitogens	D008934
Vitamin K 1	D010837	Antifibrinolytic Agents	D000933
Vitamin K 1	D010837	Vitamins	D014815
Picibanil	D010844	Antineoplastic Agents	D000970
Picloram	D010846	Herbicides	D006540
Picrotoxin	D010852	Central Nervous System Stimulants	D000697
Picrotoxin	D010852	Antidotes	D000931
Picrotoxin	D010852	Convulsants	D003292
Picrotoxin	D010852	GABA Antagonists	D018756
Pilocarpine	D010862	Miotics	D008916
Pilocarpine	D010862	Muscarinic Agonists	D018721
Natamycin	D010866	Anti-Infective Agents, Local	D000891
Natamycin	D010866	Anti-Bacterial Agents	D000900
